Met;Frag;[1,2]Glc;[2,3]Glc;[4,5,6]Glc;[2,3,4,5,6]Glc;[1] + [4,5,6]Glc (1:1);[1] + [U]Glc (1:1);[1] + [U]Glc (4:1);20% [U]Glc;[1]Glc;[2]Glc;[3]Glc;[4]Glc;[5]Glc;[6]Glc
Glu;Glu432 (M0);14,8;16,5;10,6;2,3;14,2;4,2;11,9;33,7;20,1;17,9;42,7;45,7;14,4;13,1
Glu;Glu432 (M1);13,3;28,1;9,7;1,9;19,9;8,6;22;20;36,2;36,7;33,5;34,1;36,1;33,9
Glu;Glu432 (M2);27,4;27,4;21,3;6;24,5;17,2;26;22,9;26,5;28;15,9;13,9;30,8;31,5
Glu;Glu432 (M3);18,3;17;21,5;18,8;20,3;23,8;20,9;12,8;11,6;11,8;5,8;4,8;12,6;14,2
Glu;Glu432 (M4);15,5;7,6;15,4;32,5;12;21,5;11,8;6,4;4;4,1;1,6;1,2;4,6;5,4
Glu;Glu432 (M5);7,3;2,6;14,8;25,9;6,3;17;5,3;3;1,2;1,1;0,4;0,3;1,2;1,5
Glu;Glu432 (M6);2,6;0,7;4,8;9,4;2;5,7;1,7;0,9;0,3;0,3;0,1;0;0,3;0,4
Glu;Glu432 (M7);0,8;0,2;1,9;3,4;0,6;2,1;0,5;0,3;0,1;0,1;0;0;0,1;0,1
Tyr;Tyr302 (M0);41,9;40,4;36,4;5,4;53,4;35,9;56,3;56,7;71,6;41,4;39,5;34,2;34,4;71,6
Tyr;Tyr302 (M1);40,9;11,9;9,8;3,8;14,2;13;17,3;17;19,2;41,4;41,5;47,3;47,2;19,2
Tyr;Tyr302 (M2);12,5;36,1;40,6;68,1;24,8;38,6;20,2;20,1;7,5;12,5;13,9;13,1;13,1;7,6
Tyr;Tyr302 (M3);3,9;8,4;9,4;16,1;5,5;9,1;4,6;4,5;1,3;3,9;4,3;4,5;4,5;1,4
Tyr;Tyr302 (M4);0,8;3,2;3,8;6,5;2,1;3,5;1,6;1,7;0,4;0,8;0,9;0,9;0,8;0,3
