R1_i,R2 net_i,R2 exch_i,R3_i,R4_i,R5_i
99.556,62.339,38.464,18.609,18.609,80.947
99.926,62.072,36.317,18.927,18.927,80.999
99.614,62.467,39.358,18.574,18.574,81.04
100.21,62.04,40.993,19.084,19.084,81.123
99.752,62.673,39.243,18.54,18.54,81.213
99.855,61.791,35.382,19.032,19.032,80.823
100.01,61.895,37.467,19.059,19.059,80.954
99.918,62.097,37.054,18.911,18.911,81.007
99.696,62.334,34.879,18.681,18.681,81.015
99.485,62.487,37.202,18.499,18.499,80.986
99.693,61.403,35.783,19.145,19.145,80.548
99.863,62.464,38.341,18.699,18.699,81.164
99.762,61.909,39.223,18.927,18.927,80.836
99.726,61.571,38.402,19.078,19.078,80.648
99.985,61.836,39.87,19.075,19.075,80.91
100.01,62.161,35.102,18.924,18.924,81.084
100.14,62.083,35.205,19.03,19.03,81.112
99.809,61.272,36.308,19.269,19.269,80.54
100.05,62.046,36.132,19.001,19.001,81.048
99.949,61.906,36.786,19.022,19.022,80.928
99.795,61.753,34.675,19.021,19.021,80.774
100.14,61.864,34.52,19.139,19.139,81.003
99.887,61.484,37.716,19.202,19.202,80.685
99.729,62.741,35.553,18.494,18.494,81.235
100.05,61.995,38.984,19.03,19.03,81.025
99.495,62.248,34.874,18.624,18.624,80.871
100.09,61.457,39.727,19.319,19.319,80.776
100.2,62.17,38.465,19.015,19.015,81.185
99.65,62.441,41.91,18.604,18.604,81.045
100.04,61.476,39.209,19.281,19.281,80.758
100.08,61.971,40.071,19.054,19.054,81.025
99.942,62.372,34.203,18.785,18.785,81.157
99.841,62.111,40.321,18.865,18.865,80.976
100.05,62.165,35.214,18.943,18.943,81.107
100.04,61.764,38.368,19.138,19.138,80.902
99.876,62.208,36.398,18.834,18.834,81.042
99.955,61.219,37.79,19.368,19.368,80.587
99.477,62.09,36.722,18.693,18.693,80.783
99.934,61.765,37.036,19.084,19.084,80.849
99.735,62.115,37.145,18.81,18.81,80.925
100.02,62.408,36.78,18.805,18.805,81.213
99.918,62.001,37.588,18.959,18.959,80.959
99.75,61.943,40.525,18.903,18.903,80.846
99.339,62.566,39.248,18.386,18.386,80.952
99.536,62.301,39.18,18.618,18.618,80.918
99.357,62.711,37.811,18.323,18.323,81.034
99.688,61.191,39.775,19.248,19.248,80.44
99.627,62.955,40.316,18.336,18.336,81.291
99.803,61.833,35.973,18.985,18.985,80.818
99.826,62.066,36.575,18.88,18.88,80.946
99.99,61.577,38.586,19.207,19.207,80.784
100.11,61.855,42.75,19.125,19.125,80.981
99.371,63.103,36.758,18.134,18.134,81.237
99.674,62.352,36.473,18.661,18.661,81.013
100.15,61.639,38.998,19.256,19.256,80.895
99.95,62.183,36.335,18.884,18.884,81.066
99.873,61.783,38.58,19.045,19.045,80.828
100.08,61.103,33.989,19.49,19.49,80.593
100.31,61.5,39.225,19.403,19.403,80.903
99.69,62.243,38.32,18.724,18.724,80.967
99.841,62.561,35.948,18.64,18.64,81.201
99.796,63.197,37.003,18.3,18.3,81.496
100.06,61.127,39.543,19.468,19.468,80.594
99.357,62.613,33.043,18.372,18.372,80.985
99.598,62.139,36.197,18.729,18.729,80.868
99.978,61.843,41.62,19.068,19.068,80.91
99.685,62.679,38.274,18.503,18.503,81.182
99.714,62.214,37.065,18.75,18.75,80.964
99.684,63.047,34.047,18.318,18.318,81.365
100.4,61.631,39.342,19.386,19.386,81.017
99.996,62.326,37.092,18.835,18.835,81.161
99.899,61.802,33.551,19.049,19.049,80.85
99.449,62.303,38.394,18.573,18.573,80.876
99.984,61.533,38.997,19.225,19.225,80.759
99.96,61.803,34.441,19.079,19.079,80.881
99.955,61.897,37.055,19.029,19.029,80.926
