mass_isotope,intensity_std_error,ms_id,experiment_id,met_id,labelled_atom_ids,unlabelled_atoms,measurement_replicate,time,intensity
4,0.003,Glutamicacid432,inst1,GLU,"[1, 2, 3, 4, 5]",C14H42O4NSi3,1,1.0,0.006291046718991156
4,0.003,Histidine338,inst1,HIS,"[2, 3, 4, 5, 6]",C12H36N3Si2,1,1.0,0.24293623839458978
5,0.003,Valine288,inst1,VAL,"[1, 2, 3, 4, 5]",C8H30O2NSi2,1,1.0,0.0002217881851171206
5,0.003,Histidine338,inst1,HIS,"[2, 3, 4, 5, 6]",C12H36N3Si2,1,1.0,0.16892708869432854
0,0.003,Alanine232,inst2,ALA,"[2, 3]",C8H26ONSi2,1,0.1,0.6360145894015149
0,0.003,Alanine260,inst2,ALA,"[1, 2, 3]",C8H26O2NSi2,1,0.1,0.6252674902366944
0,0.003,Glycine218,inst2,GL,[2],C8H24ONSi2,1,0.1,0.6716364809716764
0,0.003,Glycine246,inst2,GL,"[1, 2]",C8H24O2NSi2,1,0.1,0.6566728653876037
0,0.003,Valine260,inst2,VAL,"[2, 3, 4, 5]",C8H30ONSi2,1,0.1,0.738408298383868
0,0.003,Valine288,inst2,VAL,"[1, 2, 3, 4, 5]",C8H30O2NSi2,1,0.1,0.7286540537899758
0,0.003,Leucine274,inst2,LEU,"[2, 3, 4, 5, 6]",C8H32ONSi2,1,0.1,0.7301937994422584
0,0.003,Isoleucine274,inst2,ILE,"[2, 3, 4, 5, 6]",C8H32ONSi2,1,0.1,0.730193800319229
0,0.003,Methionine320,inst2,MET,"[2, 3, 4, 5]",C6H24NSiS,1,0.1,0.7803293366465386
0,0.003,Serine362,inst2,SER,"[2, 3]",C14H40O2NSi3,1,0.1,0.4909940060278681
0,0.003,Serine390,inst2,SER,"[1, 2, 3]",C14H40O3NSi3,1,0.1,0.47678612712522334
0,0.003,Threonine376,inst2,THR,"[2, 3, 4]",C14H42O2NSi3,1,0.1,0.6421578151343188
0,0.003,Threonine404,inst2,THR,"[1, 2, 3, 4]",C14H42O3NSi3,1,0.1,0.6336750226103058
0,0.003,Phenylalanine302,inst2,PHE,"[1, 2]",C12H32O2NSi2,1,0.1,0.7205480668934592
0,0.003,Phenylalanine308,inst2,PHE,"[2, 3, 4, 5, 6, 7, 8, 9]",C8H30ONSi2,1,0.1,0.7069763740389077
0,0.003,Phenylalanine336,inst2,PHE,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",C8H30O2NSi2,1,0.1,0.697637339668803
